role;name;team
A;CRISTIANO RONALDO;Juventus
A;QUAGLIARELLA;Sampdoria
A;IMMOBILE;Lazio
A;ZAPATA D;Atalanta
A;ICARDI;Inter
A;MERTENS;Napoli
A;MILIK;Napoli
A;PIATEK;Milan
A;INSIGNE;Napoli
A;BELOTTI;Torino
C;CHIESA;Fiorentina
A;DYBALA;Juventus
A;DZEKO;Roma
A;MURIEL;Fiorentina
C;PERISIC;Inter
A;GOMEZ A;Atalanta
A;MANDZUKIC;Juventus
A;IAGO FALQUE;Torino
C;MILINKOVIC-SAVIC;Lazio
A;SUSO;Milan
C;ILICIC;Atalanta
C;NAINGGOLAN;Inter
C;DE PAUL;Udinese
A;CAPUTO;Empoli
A;SIMEONE;Fiorentina
A;CALLEJON;Napoli
A;UNDER;Roma
A;GABBIADINI;Sampdoria
C;PJANIC;Juventus
C;LUIS ALBERTO;Lazio
A;PAVOLETTI;Cagliari
A;INGLESE;Parma
A;DEFREL;Sampdoria
A;KEITA B;Inter
D;KOLAROV;Roma
C;CRISTANTE;Roma
P;SZCZESNY;Juventus
C;FREULER;Atalanta
C;VERETOUT;Fiorentina
C;DOUGLAS COSTA;Juventus
C;BONAVENTURA;Milan
A;EL SHAARAWY;Roma
A;BERARDI;Sassuolo
A;ANTENUCCI;SPAL
P;HANDANOVIC;Inter
C;MATUIDI;Juventus
C;ALLAN;Napoli
C;PASTORE;Roma
A;BABACAR;Sassuolo
A;PETAGNA;SPAL
A;GERVINHO;Parma
P;DONNARUMMA G;Milan
D;SKRINIAR;Inter
D;ALEX SANDRO;Juventus
D;KOULIBALY;Napoli
C;JOAO PEDRO;Cagliari
C;BENASSI;Fiorentina
C;PAROLO;Lazio
C;ZIELINSKI;Napoli
C;RAMIREZ;Sampdoria
C;CORREA;Lazio
A;CUTRONE;Milan
A;LASAGNA;Udinese
A;ZAZA;Torino
D;HATEBOER;Atalanta
D;DE VRIJ;Inter
D;ACERBI;Lazio
D;N'KOULOU;Torino
C;BERNARDESCHI;Juventus
C;CAN;Juventus
C;CUADRADO;Juventus
